"_id","packet_id","src","dest","subject","message","language","read","type","msg_chat_type","buddy_id","contact_relate","date","msg_status","msg_type","msg_extend","attach_status","msg_sending_progress","user_flag","attachment_read","data1","data2","data3","data4","data5","data6","data7","data8","data9","data10"
"1","dKMw1717041535860","88888000","6391234104178680","","Eh, kamu udah nonton film yang kemarin aku rekomendasiin belum?","","0","1","0","","88888000","1717041535865","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"2","1u531717041638136","6510329879377920","6391234104178680","","Belum nih, kemarin ketiduran abis pulang kerja. Emang sebagus itu ya?","","0","1","0","","6510329879377920","1717041638846","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"3","DpB01717041801193","7015739958917120","6391234104178680","","Bagus banget! Ceritanya nyentuh tapi gak terlalu berat. Ending-nya juga bikin mikir.","","1","1","0","","7015739958917120","1717041801195","2","1","","0","0","6391234104178680","0","","","","","","","","","",""
"4","nBF31717041817264","7015739958917120","6391234104178680","","Wah, jadi makin penasaran. Genre-nya apa sih?","","0","1","0","","7015739958917120","1717041817260","2","10000","","0","0","6391234104178680","0","","","","","","","","","",""
"5","oluC1717041817266","7015739958917120","6391234104178680","","Drama psikologis, tapi ada unsur slice of life juga. Akting pemainnya keren banget.","","0","1","0","","7015739958917120","1717041817263","2","10000","","0","0","6391234104178680","0","","","","","","","","","",""
"6","0-uwVX1717041817270","7015739958917120","6391234104178680","","Oke deh, nanti malam aku tonton. Ada di Netflix, kan?","","0","1","0","","7015739958917120","1717041817266","2","10000","","0","0","6391234104178680","0","","","","","","","","","",""
"7","4K171717041831231","7015739958917120","6391234104178680","","Yup, tinggal cari judulnya di pencarian. Jangan lupa siapin tisu ","","0","1","0","","7015739958917120","1717041832016","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"8","rfM51717119704188","7015739958917120","6391234104178680","","Waduh... gitu banget? Bakal bikin nangis gitu?","","0","1","0","","7015739958917120","1717119705216","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"9","aT651717119723106","6391234104178680","7015739958917120","","Gak nangis sih, tapi haru. Kayak bikin kamu mikir tentang hidup.","","1","2","0","","7015739958917120","1717119723107","2","1","","2","0","6391234104178680","0","","","","","","","0","","1",""
"10","8T0d1717119735305","7015739958917120","6391234104178680","","Hmm... pas banget buat suasana hati akhir-akhir ini.","","0","1","0","","7015739958917120","1717119736260","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"11","97m21717119738822","7015739958917120","6391234104178680","","Iya, makanya aku langsung kepikiran kamu waktu nonton itu. Relate banget.","","0","1","0","","7015739958917120","1717119739702","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"12","lpds1717119765119","7015739958917120","6391234104178680",""," Makasih ya udah rekomendasiin. Btw, kamu weekend ini ngapain?","","0","1","0","","7015739958917120","1717119765843","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"13","H4E61717119806520","6391234104178680","7015739958917120",""," Belum ada rencana pasti sih. Kalau gak hujan, pengen keluar sebentar cari udara segar.","","1","2","0","","7015739958917120","1717119806520","2","1","","2","0","6391234104178680","0","","","","","","","0","","1",""
"14","1u531717041638136","6510329879377920","6391234104178680","","Sama. Lagi pengen jalan-jalan santai aja, gak usah jauh-jauh. Yang penting ngopi enak","","0","1","0","","6510329879377920","1717041638846","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"15","DpB01717041801193","7015739958917120","6391234104178680","","Setuju! Eh, mau cobain kafe baru deket taman kota gak? Katanya cozy banget","","1","1","0","","7015739958917120","1717041801195","2","1","","0","0","6391234104178680","0","","","","","","","","","",""
"16","nBF31717041817264","7015739958917120","6391234104178680",""," Boleh tuh! Hari Sabtu sore gimana?","","0","1","0","","7015739958917120","1717041817260","2","10000","","0","0","6391234104178680","0","","","","","","","","","",""
"17","oluC1717041817266","7015739958917120","6391234104178680","","Drama psikologis, tapi ada unsur slice of life juga. Akting pemainnya keren banget.","","0","1","0","","7015739958917120","1717041817263","2","10000","","0","0","6391234104178680","0","","","","","","","","","",""
"18","0-uwVX1717041817270","7015739958917120","6391234104178680","","Oke, Sabtu jam 4? Kita janjian di halte biasa aja?","","0","1","0","","7015739958917120","1717041817266","2","10000","","0","0","6391234104178680","0","","","","","","","","","",""
"19","4K171717041831231","7015739958917120","6391234104178680","","Deal. Nanti aku bawa boardgame kecil, kali aja bisa main bentar sambil nunggu makanan.","","0","1","0","","7015739958917120","1717041832016","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"20","rfM51717119704188","7015739958917120","6391234104178680","","Wah asik tuh. Udah lama gak main bareng.","","0","1","0","","7015739958917120","1717119705216","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"21","aT651717119723106","6391234104178680","7015739958917120","","Iya, terakhir pas pandemi malah cuma lewat Zoom doang ","","1","2","0","","7015739958917120","1717119723107","2","1","","2","0","6391234104178680","0","","","","","","","0","","1",""
"22","8T0d1717119735305","7015739958917120","6391234104178680","","Hahaha iya bener. Sekarang udah bisa ketemu langsung, harus dimanfaatin!","","0","1","0","","7015739958917120","1717119736260","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"23","97m21717119738822","7015739958917120","6391234104178680",""," Sip! Nanti aku konfirmasi lagi pagi-pagi ya. Kalau hujan bisa kita resked.","","0","1","0","","7015739958917120","1717119739702","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"24","lpds1717119765119","7015739958917120","6391234104178680",""," Siap. Makasih udah ngajak, jadi semangat akhir pekannya!","","0","1","0","","7015739958917120","1717119765843","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
