"_id","packet_id","src","dest","subject","message","language","read","type","msg_chat_type","buddy_id","contact_relate","date","msg_status","msg_type","msg_extend","attach_status","msg_sending_progress","user_flag","attachment_read","data1","data2","data3","data4","data5","data6","data7","data8","data9","data10"
"1","dKMw1717041535860","88888000","6.39E+15","","gue skip dah ","","0","1","0","","88888000","1.72E+12","2","1","","0","0","6.39E+15","0","0","","","","","","","","",""
"2","1u531717041638136","6.51E+15","6.39E+15","","kenapa?","","0","1","0","","6.51E+15","1.72E+12","2","1","","0","0","6.39E+15","0","0","","","","","","","","",""
"3","DpB01717041801193","7.02E+15","6.39E+15","","gue ga gitu suka ikan, durinya banyak","","1","1","0","","7.02E+15","1.72E+12","2","1","","0","0","6.39E+15","0","","","","","","","","","",""
"4","nBF31717041817264","7.02E+15","6.39E+15","","gampang","","0","1","0","","7.02E+15","1.72E+12","2","10000","","0","0","6.39E+15","0","","","","","","","","","",""
"5","oluC1717041817266","7.02E+15","6.39E+15","","ntar durinya gue pisahin","","0","1","0","","7.02E+15","1.72E+12","2","10000","","0","0","6.39E+15","0","","","","","","","","","",""
"6","0-uwVX1717041817270","7.02E+15","6.39E+15","","yg penting lu makan dulu","","0","1","0","","7.02E+15","1.72E+12","2","10000","","0","0","6.39E+15","0","","","","","","","","","",""
"7","4K171717041831231","7.02E+15","6.39E+15","","ntar msuk angin","","0","1","0","","7.02E+15","1.72E+12","2","1","","0","0","6.39E+15","0","0","","","","","","","","",""
"8","rfM51717119704188","7.02E+15","6.39E+15","","cielah khawatir","","0","1","0","","7.02E+15","1.72E+12","2","1","","0","0","6.39E+15","0","0","","","","","","","","",""
"9","aT651717119723106","6.39E+15","7.02E+15","","iya lah khawatir","","1","2","0","","7.02E+15","1.72E+12","2","1","","2","0","6.39E+15","0","","","","","","","0","","1",""
"10","8T0d1717119735305","7.02E+15","6.39E+15","","ntar kecium lagi bau tukang pijet kalo lu masuk angin","","0","1","0","","7.02E+15","1.72E+12","2","1","","0","0","6.39E+15","0","0","","","","","","","","",""
"11","97m21717119738822","7.02E+15","6.39E+15","","sialan ","","0","1","0","","7.02E+15","1.72E+12","2","1","","0","0","6.39E+15","0","0","","","","","","","","",""
"12","lpds1717119765119","7.02E+15","6.39E+15","","haha canda","","0","1","0","","7.02E+15","1.72E+12","2","1","","0","0","6.39E+15","0","0","","","","","","","","",""
"13","H4E61717119806520","6.39E+15","7.02E+15","","yuk masuk dulu","","1","2","0","","7.02E+15","1.72E+12","2","1","","2","0","6.39E+15","0","","","","","","","0","","1",""
"14","1u531717041638136","6.51E+15","6.39E+15","","yaa","","0","1","0","","6.51E+15","1.72E+12","2","1","","0","0","6.39E+15","0","0","","","","","","","","",""
"15","DpB01717041801193","7.02E+15","6.39E+15","","","","1","1","0","","7.02E+15","1.72E+12","2","1","","0","0","6.39E+15","0","","","","","","","","","",""
"16","nBF31717041817264","7.02E+15","6.39E+15","","","","0","1","0","","7.02E+15","1.72E+12","2","10000","","0","0","6.39E+15","0","","","","","","","","","",""
"18","0-uwVX1717041817270","7.02E+15","6.39E+15","","","","0","1","0","","7.02E+15","1.72E+12","2","10000","","0","0","6.39E+15","0","","","","","","","","","",""
"19","4K171717041831231","7.02E+15","6.39E+15","","","","0","1","0","","7.02E+15","1.72E+12","2","1","","0","0","6.39E+15","0","0","","","","","","","","",""
