_id,packet_id,src,dest,subject,message,language,read,type,msg_chat_type,buddy_id,contact_relate,date,msg_status,msg_type,msg_extend,attach_status,msg_sending_progress,user_flag,attachment_read,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10
1,dKMw1717041535860,88888000,6391234104178688,,"Selamat kembali keMiChat, Kami dari Tim MiChat, jika dalam masa penggunaan ada pertanyaan atau masalah apapun, Anda boleh tekan ""Umpan Balik"" dibawah ini untuk memberitahu Kami!",,0,1,0,,88888000,1717041535865,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
2,1u531717041638136,6510329879377920,6391234104178688,,test,,0,1,0,,6510329879377920,1717041638846,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
3,DpB01717041801193,7015739958917120,6391234104178688,,Saya BF,,1,1,0,,7015739958917120,1717041801195,2,1,,0,0,6391234104178688,0,,,,,,,,,,
4,nBF31717041817264,7015739958917120,6391234104178688,,Di atas adalah salam,,0,1,0,,7015739958917120,1717041817260,2,10000,,0,0,6391234104178688,0,,,,,,,,,,
5,oluC1717041817266,7015739958917120,6391234104178688,,Anda telah menambahkan BF. Mulai mengobrol sekarang!,,0,1,0,,7015739958917120,1717041817263,2,10000,,0,0,6391234104178688,0,,,,,,,,,,
6,0-uwVX1717041817270,7015739958917120,6391234104178688,,"Mohon untuk tidak  mengungkapkan nomor ponsel Anda, kartu bank dan informasi penting lainnya dalam obrolan, berhati-hatilah terhadap orang asing, jangan menerima undangan dari orang asing.",,0,1,0,,7015739958917120,1717041817266,2,10000,,0,0,6391234104178688,0,,,,,,,,,,
7,4K171717041831231,7015739958917120,6391234104178688,,test 2,,0,1,0,,7015739958917120,1717041832016,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
8,rfM51717119704188,7015739958917120,6391234104178688,,mau bo kah?,,0,1,0,,7015739958917120,1717119705216,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
9,aT651717119723106,6391234104178688,7015739958917120,,berapa tarif?,,1,2,0,,7015739958917120,1717119723107,2,1,,2,0,6391234104178688,0,,,,,,,0,,true,
10,8T0d1717119735305,7015739958917120,6391234104178688,,pijat sama bo 700,,0,1,0,,7015739958917120,1717119736260,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
11,97m21717119738822,7015739958917120,6391234104178688,,durasi 1 jam,,0,1,0,,7015739958917120,1717119739702,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
12,lpds1717119765119,7015739958917120,6391234104178688,,30 menit pijat 30 menit main?,,0,1,0,,7015739958917120,1717119765843,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
13,H4E61717119806520,6391234104178688,7015739958917120,,kemahalan mba..600 gimana?,,1,2,0,,7015739958917120,1717119806520,2,1,,2,0,6391234104178688,0,,,,,,,0,,true,
14,wK451717119821375,7015739958917120,6391234104178688,,kemurahan itu mah..675 gimana?,,0,1,0,,7015739958917120,1717119822105,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
15,31u41717119966612,6391234104178688,7015739958917120,,675 udah sama tempat belum?,,1,2,0,,7015739958917120,1717119966612,2,1,,2,0,6391234104178688,0,,,,,,,0,,true,
16,19w01717119980889,7015739958917120,6391234104178688,,itu belum termasuk tempat ,,0,1,0,,7015739958917120,1717119981654,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
17,367C1717120044718,6391234104178688,7015739958917120,,waduh udah mahal belum termasuk tempat lagi,,1,2,0,,7015739958917120,1717120044718,2,1,,2,0,6391234104178688,0,,,,,,,0,,true,
18,6h161717120090130,6391234104178688,7015739958917120,,gimana kalo gini aja..main di tempat aku bisa gak?,,1,2,0,,7015739958917120,1717120090130,2,1,,2,0,6391234104178688,0,,,,,,,0,,true,
19,76A31717120117874,7015739958917120,6391234104178688,,waduh gabisa ka,,0,1,0,,7015739958917120,1717120118643,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
20,609O1717120264856,6391234104178688,7015739958917120,,emangnya tarif tempat berapa?,,1,2,0,,7015739958917120,1717120264856,2,1,,2,0,6391234104178688,0,,,,,,,0,,true,
21,598V1717120310597,7015739958917120,6391234104178688,,paling sekitar 100 smpe 200 ,,0,1,0,,7015739958917120,1717120311402,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
22,751q1717120346202,6391234104178688,7015739958917120,,gabisa kurang lagi kah 650?,,1,2,0,,7015739958917120,1717120346202,2,1,,2,0,6391234104178688,0,,,,,,,0,,true,
23,Q0Km1717120362848,7015739958917120,6391234104178688,,gabisa 675 udah harga pas,,0,1,0,,7015739958917120,1717120363600,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
24,42Hz1717120387689,6391234104178688,7015739958917120,,ok dah deal 675,,1,2,0,,7015739958917120,1717120387689,2,1,,2,0,6391234104178688,0,,,,,,,0,,true,
25,3Ij21717120406470,6391234104178688,7015739958917120,,pake pengaman kah?,,1,2,0,,7015739958917120,1717120406470,2,1,,2,0,6391234104178688,0,,,,,,,0,,true,
26,66Rx1717120415765,7015739958917120,6391234104178688,,ia ka untuk pengaman itu wajib,,0,1,0,,7015739958917120,1717120416498,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
27,834s1717120433049,7015739958917120,6391234104178688,,"menghindari hal"" yang tidak diinginkan",,0,1,0,,7015739958917120,1717120433850,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
28,33e81717120484765,6391234104178688,7015739958917120,,okok..tapi pengaman udah disediain kan?,,1,2,0,,7015739958917120,1717120484765,2,1,,2,0,6391234104178688,0,,,,,,,0,,true,
29,BW931717120497766,7015739958917120,6391234104178688,,aman ka untuk pengaman udah disediain ,,0,1,0,,7015739958917120,1717120498564,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
30,WQdl1717120529299,7015739958917120,6391234104178688,,kalo emang serius bisa kirim tanda jadi bookingnya dulu,,0,1,0,,7015739958917120,1717120530040,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
31,sJsi1717120547782,7015739958917120,6391234104178688,,supaya saya udah bisa nyari tempatnya ,,0,1,0,,7015739958917120,1717120548533,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
32,3N9E1717120591897,6391234104178688,7015739958917120,,bisa kirim foto dulu gak?,,1,2,0,,7015739958917120,1717120591897,2,1,,2,0,6391234104178688,0,,,,,,,0,,true,
33,68cK1717120607155,7015739958917120,6391234104178688,,itu fotonya ada di profil,,0,1,0,,7015739958917120,1717120607919,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
34,G95o1717120632078,6391234104178688,7015739958917120,,itu foto asli kah?,,1,2,0,,7015739958917120,1717120632078,2,1,,2,0,6391234104178688,0,,,,,,,0,,true,
35,P0Iv1717120641355,7015739958917120,6391234104178688,,iya itu foto asli saya.,,0,1,0,,7015739958917120,1717120642069,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
36,I64A1717120673906,7015739958917120,6391234104178688,,kalo emang serius aku kirim nomor rekeningnya untuk tanda jadi booking tempatnya ,,0,1,0,,7015739958917120,1717120674677,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
37,yciU1717120711994,6391234104178688,7015739958917120,,"bisa"" mana nomor rekeningnya",,1,2,0,,7015739958917120,1717120711994,2,1,,2,0,6391234104178688,0,,,,,,,0,,true,
38,2O431717120837370,7015739958917120,6391234104178688,,ini no.rek saya xxxx-xxxx-xxxx atas nama abcde,,0,1,0,,7015739958917120,1717120838134,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
39,75p41717120925372,6391234104178688,7015739958917120,,okok..tunggu sebentar saya kirim dlu,,1,2,0,,7015739958917120,1717120925372,2,1,,2,0,6391234104178688,0,,,,,,,0,,true,
40,703P1717120971787,6391234104178688,7015739958917120,,udah saya kirim silahkan dicek dulu,,1,2,0,,7015739958917120,1717120971787,2,1,,2,0,6391234104178688,0,,,,,,,0,,true,
41,5r7t1717120978342,7015739958917120,6391234104178688,,okok udah masuk,,0,1,0,,7015739958917120,1717120979115,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
42,128F1717121002125,7015739958917120,6391234104178688,,nanti saya kabarin kalo udah dapat tempatnya ,,0,1,0,,7015739958917120,1717121002900,2,1,,0,0,6391234104178688,0,0,,,,,,,,,
43,4LE41717121055413,6391234104178688,7015739958917120,,sudah dapat kah? dimana tempatnya?,,1,2,0,,7015739958917120,1717121055413,2,1,,2,0,6391234104178688,0,,,,,,,0,,true,
