"_id","packet_id","src","dest","subject","message","language","read","type","msg_chat_type","buddy_id","contact_relate","date","msg_status","msg_type","msg_extend","attach_status","msg_sending_progress","user_flag","attachment_read","data1","data2","data3","data4","data5","data6","data7","data8","data9","data10"
"1","dKMw1717041535860","88888000","6391234104178680","","Mba, ada pijat relaks + extra ga daerah Jakarta Selatan?","","0","1","0","","88888000","1717041535865","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"2","1u531717041638136","6510329879377920","6391234104178680","","Ada mas. Paket 1 jam 800k (50k kamar mandiri). Extra tergantung kenyamanan ","","0","1","0","","6510329879377920","1717041638846","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"3","DpB01717041801193","7015739958917120","6391234104178680","","Extra nya termasuk apa aja? Boleh detail?","","1","1","0","","7015739958917120","1717041801195","2","1","","0","0","6391234104178680","0","","","","","","","","","",""
"4","nBF31717041817264","7015739958917120","6391234104178680",""," Pijat badan 30m","","0","1","0","","7015739958917120","1717041817260","2","10000","","0","0","6391234104178680","0","","","","","","","","","",""
"5","oluC1717041817266","7015739958917120","6391234104178680","","Harga 800k termasuk belum kamar","","0","1","0","","7015739958917120","1717041817263","2","10000","","0","0","6391234104178680","0","","","","","","","","","",""
"6","0-uwVX1717041817270","7015739958917120","6391234104178680","","Oke deh, nanti malam aku tonton. Ada di Netflix, kan?","","0","1","0","","7015739958917120","1717041817266","2","10000","","0","0","6391234104178680","0","","","","","","","","","",""
"7","4K171717041831231","7015739958917120","6391234104178680","","full service 30m","","0","1","0","","7015739958917120","1717041832016","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"8","rfM51717119704188","7015739958917120","6391234104178680","","Waduh... gitu banget? Bakal bikin nangis gitu?","","0","1","0","","7015739958917120","1717119705216","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"9","aT651717119723106","6391234104178680","7015739958917120",""," Harga 1.2jt","","1","2","0","","7015739958917120","1717119723107","2","1","","2","0","6391234104178680","0","","","","","","","0","","1",""
"10","8T0d1717119735305","7015739958917120","6391234104178680","","Kamar aman? Ada CCTV?","","0","1","0","","7015739958917120","1717119736260","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"11","97m21717119738822","7015739958917120","6391234104178680","","Private apartment mas. No CCTV, no interaksi sama orang lain. Harus booking 3 jam sebelumnya buat sterilisasi tempat","","0","1","0","","7015739958917120","1717119739702","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"12","lpds1717119765119","7015739958917120","6391234104178680","","Ada jaminan bukan tipu2? Soalnya baru pertama ini","","0","1","0","","7015739958917120","1717119765843","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"13","H4E61717119806520","6391234104178680","7015739958917120","","ini pake kondom kah?","","1","2","0","","7015739958917120","1717119806520","2","1","","2","0","6391234104178680","0","","","","","","","0","","1",""
"14","1u531717041638136","6510329879377920","6391234104178680","","kondomnya wajib mas","","0","1","0","","6510329879377920","1717041638846","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"15","DpB01717041801193","7015739958917120","6391234104178680","","ok..tapi saya yang beli sendiri atau dari mbanya?","","1","1","0","","7015739958917120","1717041801195","2","1","","0","0","6391234104178680","0","","","","","","","","","",""
"16","nBF31717041817264","7015739958917120","6391234104178680","","untuk kondomnya di saya udah ada mas","","0","1","0","","7015739958917120","1717041817260","2","10000","","0","0","6391234104178680","0","","","","","","","","","",""
"18","0-uwVX1717041817270","7015739958917120","6391234104178680","","Kalau gitu DP 20% via Shopeepay. Nanti aku kasih alamat exact pas lo deket lokasi","","0","1","0","","7015739958917120","1717041817266","2","10000","","0","0","6391234104178680","0","","","","","","","","","",""
"19","4K171717041831231","7015739958917120","6391234104178680","","Oke deal ambil premium. Kirim QRIS nya","","0","1","0","","7015739958917120","1717041832016","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
